City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Cherskiy,RU,68.75,161.3,62.35,61,0,2.46,clear sky
122,Alofi,NU,-19.0595,-169.9187,80.49,69,75,11.5,broken clouds
123,Vardo,NO,70.3705,31.1107,57.18,94,75,13.8,broken clouds
124,Dori,BF,14.0354,-0.0345,86.83,53,56,10.94,broken clouds
125,Talnakh,RU,69.4865,88.3972,47.21,80,100,6.82,overcast clouds
126,Simao,CN,22.7886,100.9748,64.92,97,90,2.48,overcast clouds
127,Port Alfred,ZA,-33.5906,26.891,60.44,83,88,5.5,overcast clouds
128,Manuk Mangkaw,PH,4.8,119.85,83.28,68,98,2.57,overcast clouds
129,Georgetown,MY,5.4112,100.3354,81.9,90,20,2.3,few clouds
130,Kalmunai,LK,7.4167,81.8167,78.04,79,96,1.28,overcast clouds
131,Ust-Ishim,RU,57.6935,71.1665,56.86,78,20,5.59,few clouds
132,Kampene,CD,-3.6,26.6667,72.73,40,67,1.39,broken clouds
133,Montrose,US,38.4166,-108.2673,85.41,28,60,12.15,broken clouds
134,Henties Bay,NA,-22.116,14.2845,53.87,92,0,9.24,clear sky
135,Flinders,AU,-34.5833,150.8552,57.38,82,89,1.99,overcast clouds
136,Osoyoos,CA,49.0331,-119.4524,96.19,22,71,5.35,broken clouds
137,Sadasivpet,IN,17.6212,77.9503,72.16,86,100,17.83,overcast clouds
138,Clyde River,CA,70.4692,-68.5914,41.79,72,95,3.38,overcast clouds
139,Nuuk,GL,64.1835,-51.7216,45.88,93,100,3.0,light rain
140,Batagay-Alyta,RU,67.8006,130.4114,62.82,56,26,1.77,scattered clouds
141,Port Hardy,CA,50.6996,-127.4199,65.12,79,99,9.42,overcast clouds
142,Lyubytino,RU,58.8122,33.3922,54.28,73,33,1.54,scattered clouds
143,Khatanga,RU,71.9667,102.5,43.95,78,100,11.01,overcast clouds
144,Meulaboh,ID,4.1363,96.1285,75.96,88,75,3.69,broken clouds
145,Kampot,KH,10.6167,104.1833,77.05,87,100,8.21,overcast clouds
146,Cockburn Town,TC,21.4612,-71.1419,81.48,78,4,18.61,clear sky
147,Faya,SA,18.3851,42.4509,66.31,74,88,2.82,overcast clouds
148,Cidreira,BR,-30.1811,-50.2056,57.25,75,5,8.23,clear sky
149,Belyy Yar,RU,53.6039,91.3903,57.09,77,0,6.71,clear sky
150,Areosa,PT,41.7178,-8.8571,65.19,96,5,1.88,clear sky
151,Bayji,IQ,34.9311,43.487,90.21,27,0,10.56,clear sky
152,Najran,SA,17.4924,44.1277,84.85,31,92,2.75,overcast clouds
153,Waingapu,ID,-9.6567,120.2641,74.68,84,34,5.53,scattered clouds
154,Lorengau,PG,-2.0226,147.2712,81.88,77,98,6.96,overcast clouds
155,North Platte,US,41.1239,-100.7654,100.29,22,0,4.61,clear sky
156,Salinas,US,36.6777,-121.6555,92.57,56,0,14.97,clear sky
157,Bud,US,39.447,-86.1758,83.93,59,51,3.51,broken clouds
158,Sompeta,IN,18.9333,84.6,79.54,84,100,9.01,light rain
159,Lima,PE,-12.0432,-77.0282,65.89,72,100,8.05,overcast clouds
160,Clarksville,US,36.5298,-87.3595,84.29,77,100,8.05,thunderstorm
161,Dingle,PH,10.9995,122.6711,75.27,90,94,1.23,overcast clouds
162,Vao,NC,-22.6667,167.4833,67.42,56,30,20.8,scattered clouds
163,Nouadhibou,MR,20.931,-17.0347,73.38,78,0,20.71,sand
164,Byron Bay,AU,-28.65,153.6167,54.95,73,99,6.58,overcast clouds
165,Geraldton,AU,-28.7667,114.6,39.61,93,0,4.61,clear sky
166,Barra Patuca,HN,15.8,-84.2833,81.84,84,100,12.41,overcast clouds
167,Nishihara,JP,26.1842,127.7558,83.48,80,20,2.3,few clouds
168,Longyearbyen,SJ,78.2186,15.6401,48.04,71,75,9.22,broken clouds
169,Gazojak,TM,41.1875,61.4036,73.47,38,0,10.27,clear sky
170,Manokwari,ID,-0.8667,134.0833,77.94,76,88,3.8,overcast clouds
171,Sitka,US,57.0531,-135.33,60.69,77,100,4.61,overcast clouds
172,Lokosovo,RU,61.1333,74.8167,54.01,77,49,3.96,scattered clouds
173,Zonguldak,TR,41.25,31.8333,61.97,91,5,5.61,clear sky
174,Katsuura,JP,35.1333,140.3,82.06,86,84,14.36,broken clouds
175,Norman Wells,CA,65.282,-126.8329,55.26,51,100,13.0,overcast clouds
176,Sola,VU,-13.8833,167.55,79.66,78,80,23.71,broken clouds
177,Broken Hill,AU,-31.95,141.4333,51.35,87,100,19.89,overcast clouds
178,Isla Aguada,MX,18.7833,-91.4667,84.24,71,52,7.96,broken clouds
179,Constitucion,CL,-35.3333,-72.4167,51.17,78,0,8.88,clear sky
180,Moose Factory,CA,51.2585,-80.6094,57.7,89,78,10.92,broken clouds
181,Rocha,UY,-34.4833,-54.3333,45.52,88,56,5.93,broken clouds
182,Bulungu,CD,-4.55,18.6,78.67,22,38,1.59,scattered clouds
183,Ustyuzhna,RU,58.8394,36.4321,52.68,76,1,2.44,clear sky
184,Kanye,BW,-24.9667,25.3327,55.47,33,0,3.74,clear sky
185,Upernavik,GL,72.7868,-56.1549,41.4,84,95,10.38,overcast clouds
186,Beloha,MG,-25.1667,45.05,65.07,62,50,8.93,scattered clouds
187,Seoul,KR,37.5683,126.9778,74.59,100,100,2.3,overcast clouds
188,Harrai,IN,22.6167,79.2167,73.09,96,100,5.39,overcast clouds
189,Muroto,JP,33.2833,134.15,83.08,79,100,5.93,overcast clouds
190,Warrnambool,AU,-38.3833,142.4833,48.63,93,100,12.95,overcast clouds
191,Aklavik,CA,68.2191,-135.0107,60.21,36,37,11.18,scattered clouds
192,Faanui,PF,-16.4833,-151.75,77.38,70,0,4.68,clear sky
193,Tuatapere,NZ,-46.1333,167.6833,38.43,87,19,4.0,few clouds
194,Otautau,NZ,-46.15,168.0,44.44,91,23,1.77,few clouds
195,Jingdezhen,CN,29.2947,117.2079,79.12,83,84,1.3,broken clouds
196,Tilichiki,RU,60.4667,166.1,51.06,95,100,9.75,moderate rain
197,Guerrero Negro,MX,27.9769,-114.0611,78.15,63,76,14.34,broken clouds
198,Miyako,JP,39.6367,141.9525,76.89,82,99,4.7,overcast clouds
199,Manggar,ID,-2.8833,108.2667,81.9,80,100,9.95,overcast clouds
200,Sindhnur,IN,15.7833,76.7667,75.83,76,100,17.47,overcast clouds
201,Yulara,AU,-25.2406,130.9889,50.77,49,100,2.19,overcast clouds
202,Houma,US,29.5958,-90.7195,84.99,88,100,5.21,overcast clouds
203,San Quintin,MX,30.4833,-115.95,78.31,65,43,12.97,scattered clouds
204,Matara,LK,5.9485,80.5353,75.25,95,65,7.85,broken clouds
205,Araouane,ML,18.9048,-3.5265,98.13,26,5,8.93,clear sky
206,Pevek,RU,69.7008,170.3133,39.7,92,99,4.38,overcast clouds
207,Paamiut,GL,61.994,-49.6678,43.72,91,100,4.47,light rain
208,Berlevag,NO,70.8578,29.0864,58.8,88,100,10.36,light intensity drizzle
209,Aswan,EG,24.0934,32.907,96.1,21,0,12.66,clear sky
210,Grushevskaya,RU,47.4406,39.9511,84.92,38,20,11.18,few clouds
211,Fairbanks,US,64.8378,-147.7164,63.61,50,0,4.61,clear sky
212,Komsomolskiy,UZ,40.4272,71.7189,77.72,38,52,2.3,broken clouds
213,Onega,RU,63.9061,38.1404,56.35,78,87,7.99,overcast clouds
214,Broome,US,42.2506,-75.833,81.7,58,20,5.75,few clouds
215,Kavaratti,IN,10.5669,72.642,81.28,83,71,21.72,broken clouds
216,Te Kauwhata,NZ,-37.4,175.15,53.28,53,60,6.11,broken clouds
217,Leningradskiy,RU,69.3833,178.4167,45.79,85,73,2.37,broken clouds
218,Orange Walk,BZ,17.8333,-88.8333,74.12,98,100,5.23,overcast clouds
