City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Uniontown,US,2022-08-08 19:43:10,39.9001,-79.7164,88.21,33,94,1.01
253,Dingli,MT,2022-08-08 19:43:10,35.8614,14.3822,82.81,78,0,1.14
254,Maarianhamina,AX,2022-08-08 19:43:10,60.0973,19.9348,53.46,87,0,1.14
255,Progress,US,2022-08-08 19:43:11,40.2851,-76.8314,94.87,53,0,12.66
256,Taubate,BR,2022-08-08 19:43:11,-23.0264,-45.5553,71.1,68,40,5.75
257,Sabla,NG,2022-08-08 19:43:12,12.7525,4.7077,76.33,90,100,11.27
258,Ahipara,NZ,2022-08-08 19:43:12,-35.1667,173.1667,51.78,87,20,1.23
259,Sambava,MG,2022-08-08 19:43:13,-14.2667,50.1667,69.66,82,26,11.59
260,Torbay,CA,2022-08-08 19:43:13,47.6666,-52.7314,65.75,81,100,12.66
261,Yambio,SS,2022-08-08 19:43:14,4.5721,28.3955,68.56,95,78,0.58
262,Amos,CA,2022-08-08 19:43:00,48.5669,-78.1162,51.98,98,100,9.15
263,Paramonga,PE,2022-08-08 19:43:15,-10.6667,-77.8333,65.7,73,12,12.84
264,Ituporanga,BR,2022-08-08 19:43:16,-27.4144,-49.6025,62.47,84,73,5.06
265,Laguna,US,2022-08-08 19:43:16,38.421,-121.4238,88.14,43,0,8.05
266,Bull Savanna,JM,2022-08-08 19:43:17,17.8868,-77.5902,85.51,62,95,17.52
267,Nishihara,JP,2022-08-08 19:43:17,26.1842,127.7558,84.25,81,40,6.91
268,Nanortalik,GL,2022-08-08 19:43:18,60.1432,-45.2371,45.66,82,100,6.26
269,South Daytona,US,2022-08-08 19:43:18,29.1658,-81.0045,91.27,74,75,13.8
270,Bonham,US,2022-08-08 19:43:18,33.5773,-96.1783,101.53,38,75,9.22
271,Natchez,US,2022-08-08 19:43:19,31.5604,-91.4032,92.25,58,40,6.91
272,Half Moon Bay,US,2022-08-08 19:39:03,37.4636,-122.4286,80.58,66,100,14.97
273,Tautira,PF,2022-08-08 19:43:20,-17.7333,-149.15,75.02,61,16,13.4
274,Suruc,TR,2022-08-08 19:43:20,36.9761,38.425,79.43,60,0,11.95
275,Labuhan,ID,2022-08-08 19:43:21,-6.8844,112.2051,76.3,84,89,9.55
276,Waipawa,NZ,2022-08-08 19:44:23,-41.4122,175.5153,46.67,86,100,16.78
277,Shunyi,CN,2022-08-08 19:44:24,40.125,116.6453,69.75,88,100,4.47
278,Katsuura,JP,2022-08-08 19:44:24,35.1333,140.3,81.18,87,100,20.07
279,Shakiso,ET,2022-08-08 19:44:24,5.75,38.9167,58.33,82,98,1.41
280,Norman Wells,CA,2022-08-08 19:39:26,65.282,-126.8329,60.84,67,20,4.61
281,Melo,UY,2022-08-08 19:44:25,-32.3667,-54.1833,53.92,77,100,13.94
282,Bani,DO,2022-08-08 19:44:25,18.2833,-70.3333,87.24,62,100,16.33
283,Salamiyah,SY,2022-08-08 19:44:26,35.0113,37.0532,72.82,67,0,14.0
284,Taltal,CL,2022-08-08 19:44:26,-25.4,-70.4833,61.14,66,24,4.45
285,Cedar City,US,2022-08-08 19:44:27,37.6775,-113.0619,85.17,20,0,3.44
286,Boa Vista,BR,2022-08-08 19:44:27,2.8197,-60.6733,93.18,43,40,6.91
287,Aykhal,RU,2022-08-08 19:44:28,66.0,111.5,45.68,89,100,1.95
288,Road Town,VG,2022-08-08 19:44:28,18.4167,-64.6167,89.69,74,75,11.5
289,Ulverstone,AU,2022-08-08 19:44:29,-41.15,146.1667,42.19,85,15,1.99
290,Xining,CN,2022-08-08 19:44:29,36.6167,101.7667,64.06,90,68,1.72
291,Chifeng,CN,2022-08-08 19:42:18,42.2683,118.9636,68.36,47,100,2.33
292,Nha Trang,VN,2022-08-08 19:44:30,12.25,109.1833,78.8,90,100,4.68
