City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Altamira,BR,83.57,broken clouds,-3.2033,-52.2064,Requinte Hotel
453,Olinda,BR,76.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
454,Kisangani,CD,75.6,broken clouds,0.5167,25.2,Grand Ramela Hotel
455,Sibenik,HR,80.26,clear sky,43.7272,15.9058,Hotel Jadran
456,Cabatuan,PH,75.0,overcast clouds,10.8794,122.486,MVC Transient Room
457,Hami,CN,86.61,broken clouds,42.8,93.45,Laoyutang Resort
458,Shiyan,CN,80.64,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
460,Puerto Morazan,NI,79.57,overcast clouds,12.8504,-87.1717,Iglesia de Dios de la profecia
466,Pasighat,IN,76.78,scattered clouds,28.0667,95.3333,Siang Guest House
467,Marsh Harbour,BS,83.57,clear sky,26.5412,-77.0636,Abaco Beach Resort
468,Coahuayana,MX,85.59,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
472,Inirida,CO,76.06,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
475,Ipixuna,BR,80.55,broken clouds,-1.7625,-48.8043,Chalé do Mato
476,Tsuruga,JP,80.64,overcast clouds,35.6455,136.0558,New Sunpia Tsuruga
478,Biak,ID,75.34,overcast clouds,-0.9131,122.8766,Penginapan Kim
479,Asyut,EG,84.38,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
481,Honiara,SB,83.91,scattered clouds,-9.4333,159.95,Heritage Park Hotel
488,Miyakonojo,JP,78.94,scattered clouds,31.7333,131.0667,Miyakonojo Sun Plaza Hotel
490,Gunjur,GM,80.67,scattered clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
492,Bhachau,IN,82.96,overcast clouds,23.2833,70.35,Amrut Bagh Resort
503,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
505,Sidi Ali,DZ,87.26,clear sky,36.0998,0.4206,Complexe touristique haje bezine
507,Marrakesh,MA,82.47,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
508,Mazagao,BR,77.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
509,Ierapetra,GR,80.15,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
513,Newport,GB,75.31,clear sky,51.5877,-2.9984,ibis budget Newport
515,Iwaki,JP,83.01,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
516,Portland,US,78.84,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
520,Mirabad,AF,83.82,broken clouds,30.4362,61.8383,
524,Lazaro Cardenas,MX,85.95,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
527,Qui Nhon,VN,80.65,moderate rain,13.7667,109.2333,Seagull Hotel
529,Latung,PH,82.62,broken clouds,5.5,120.8833,
532,Kudahuvadhoo,MV,80.58,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
533,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
535,Lanigan,CA,79.43,overcast clouds,51.8501,-105.0344,Ross Inn
540,Durusu,TR,77.18,clear sky,41.3053,28.6767,Durusu Talebe Yurdu
544,Luorong,CN,77.94,overcast clouds,24.4058,109.6086,荣立大酒店
552,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
553,Tezu,IN,76.57,scattered clouds,27.9167,96.1667,Circuit House
554,Maracacume,BR,75.16,broken clouds,-2.0428,-45.9592,Hotel Ramos
557,Tabou,CI,75.34,overcast clouds,4.423,-7.3528,hotêl doufoulougou
559,Sinnamary,GF,78.94,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
561,Popondetta,PG,78.33,overcast clouds,-8.7537,148.2534,Timos Transit House
562,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
564,Iracoubo,GF,79.5,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
567,Robertson,US,80.67,broken clouds,36.5167,-86.8667,Hampton Inn Springfield
568,Fort Nelson,CA,88.09,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
